Time_h,Biomass_gL,Viability_%,Glucose_gL,Methanol_gL,Protein_mgL
0,0.5118485012005681,97.12701675564517,40.0,0,0.0
12,1.2205598063941965,96.98514368365524,36.38639455782313,0,229.06195375397124
24,2.9167523552906776,97.69031678204537,,0,891.4186884331657
36,6.744408622757692,97.78945642495627,,0,1950.507713226215
48,13.274587000082638,96.04400117113879,0.0,0,5576.7209535722295
60,14.866773371554489,97.92772790684157,,0,10633.568130527186
72,16.7498188747786,97.62709099493921,0.0,0,16454.387467844284
84,17.30535767203956,97.43008642512348,0.0,0,19578.886831653508
96,20.37390960681,94.48125429681494,0.0,0,20561.484970024492
108,21.591084634171693,94.93436051290234,0.0,0,28667.027605662068
120,23.972550352136558,90.42768162033099,0.0,0,28793.074181220443
