Time_h,Biomass_gL,Viability_%,Glucose_gL,Methanol_gL,Protein_mgL
0,0.4906480348946596,98.9280980958006,40.0,0,0.0
12,1.314392107672963,96.93573571661011,35.25504427347946,0,346.43395049255844
24,3.8249287889665795,98.37156153081501,22.380360573458027,0,1399.3269648596402
36,10.061222109387758,96.31677463792992,0.0,0,3850.5155125627066
48,10.056777072516303,97.60545700104105,0.0,0,6658.879335191039
60,11.181984535790612,96.35184044340133,0.0,5,9905.033255770808
72,12.127960154725587,98.28502762864099,0.0,5,15209.2759485694
84,14.55345250258152,98.95552366527203,0.0,5,20154.132690145787
96,14.932769077213255,92.67865153077929,0.0,5,25389.48262607793
108,17.502392794001906,93.00426555502003,0.0,5,28279.859118105185
120,18.46908144540912,92.57773718338106,0.0,5,29639.432304798327
