Time_h,Biomass_gL,Viability_%,Glucose_gL,Methanol_gL,Protein_mgL
0,0.4835334077302373,98.77586458437946,40.0,0,0.0
12,1.3674307683238895,96.1840316234516,35.25504427347946,0,487.0768205123117
24,3.821988402010131,98.91166401218548,22.380360573458027,0,1844.8875819174436
36,9.436997481161708,97.55706508073567,0.0,0,5278.708075154903
48,9.673148944939662,98.23080755268185,0.0,0,8804.979070588684
60,10.828465902873976,97.45114149717215,0.0,0,15087.137844726614
72,11.919418853309688,96.07768821074846,0.0,0,18577.148641334246
84,13.807001094422953,96.00480356264708,0.0,0,21832.947499376394
96,15.383742224645816,93.56189151064416,0.0,0,27327.238993006
108,15.984021245000163,94.05883286095447,0.0,0,33747.025729509514
120,18.8093939595881,90.7001347196154,0.0,0,33179.9640390101
